Feedback,PredictedCategory
The syllabus isn't being completed on time.,Academics
Wi-Fi doesn't work properly in the hostel.,Facility
The admin office is delaying scholarship approvals.,Administration
Professors don't respond to doubts after class.,Administration
There are not enough fans in the lecture hall.,Facilities
The fee payment portal is often down.,Administration
Lab equipment is outdated and often broken.,Facility
The classroom projectors aren’t working.,Facility
The office lost my ID card application.,Administration
Assignments are too frequent and disorganized.,Administration
